index,filename,num_rooms
0,datasets/rplan/10001.json,70
1,datasets/rplan/10002.json,76
2,datasets/rplan/10005.json,77
3,datasets/rplan/10006.json,77
4,datasets/rplan/10011.json,68
5,datasets/rplan/1002.json,87
6,datasets/rplan/10021.json,73
7,datasets/rplan/10023.json,77
8,datasets/rplan/10028.json,79
9,datasets/rplan/10034.json,79
10,datasets/rplan/10035.json,82
11,datasets/rplan/10039.json,88
12,datasets/rplan/1004.json,71
13,datasets/rplan/10046.json,77
14,datasets/rplan/10047.json,88
15,datasets/rplan/10049.json,85
16,datasets/rplan/10054.json,76
17,datasets/rplan/10055.json,76
18,datasets/rplan/10057.json,85
19,datasets/rplan/10058.json,85
20,datasets/rplan/10065.json,91
21,datasets/rplan/10067.json,88
22,datasets/rplan/10068.json,85
23,datasets/rplan/10072.json,77
24,datasets/rplan/10080.json,77
25,datasets/rplan/10086.json,82
26,datasets/rplan/10087.json,97
27,datasets/rplan/10089.json,100
28,datasets/rplan/10092.json,85
29,datasets/rplan/10095.json,76
30,datasets/rplan/10099.json,88
31,datasets/rplan/1010.json,84
32,datasets/rplan/10100.json,89
33,datasets/rplan/10108.json,76
34,datasets/rplan/10111.json,68
35,datasets/rplan/10116.json,93
36,datasets/rplan/10134.json,91
37,datasets/rplan/10139.json,75
38,datasets/rplan/10144.json,79
39,datasets/rplan/10148.json,78
40,datasets/rplan/10151.json,82
41,datasets/rplan/10156.json,79
42,datasets/rplan/10157.json,88
43,datasets/rplan/10158.json,83
44,datasets/rplan/10161.json,91
45,datasets/rplan/10166.json,85
46,datasets/rplan/10170.json,79
47,datasets/rplan/10172.json,91
48,datasets/rplan/10174.json,83
49,datasets/rplan/1018.json,76
50,datasets/rplan/10195.json,79
51,datasets/rplan/10196.json,88
52,datasets/rplan/10197.json,85
53,datasets/rplan/10198.json,91
54,datasets/rplan/10200.json,81
55,datasets/rplan/10201.json,100
56,datasets/rplan/10202.json,88
57,datasets/rplan/10204.json,94
58,datasets/rplan/10207.json,77
59,datasets/rplan/10217.json,68
60,datasets/rplan/10218.json,94
61,datasets/rplan/10219.json,80
62,datasets/rplan/1022.json,85
63,datasets/rplan/10229.json,73
64,datasets/rplan/10234.json,68
65,datasets/rplan/10235.json,70
66,datasets/rplan/10237.json,82
67,datasets/rplan/10238.json,76
68,datasets/rplan/1024.json,67
69,datasets/rplan/10246.json,84
70,datasets/rplan/10247.json,73
71,datasets/rplan/10250.json,76
72,datasets/rplan/10254.json,73
73,datasets/rplan/10260.json,74
74,datasets/rplan/10267.json,77
75,datasets/rplan/10276.json,76
76,datasets/rplan/10281.json,78
77,datasets/rplan/10282.json,82
78,datasets/rplan/10287.json,84
79,datasets/rplan/10293.json,73
80,datasets/rplan/1030.json,76
81,datasets/rplan/10303.json,82
82,datasets/rplan/10310.json,76
83,datasets/rplan/10311.json,88
84,datasets/rplan/10319.json,80
85,datasets/rplan/10321.json,76
86,datasets/rplan/10322.json,73
87,datasets/rplan/10324.json,85
88,datasets/rplan/10326.json,79
89,datasets/rplan/10329.json,88
90,datasets/rplan/1034.json,79
91,datasets/rplan/10340.json,66
92,datasets/rplan/10341.json,73
93,datasets/rplan/10346.json,83
94,datasets/rplan/10347.json,65
95,datasets/rplan/1036.json,82
96,datasets/rplan/10361.json,70
97,datasets/rplan/10365.json,79
98,datasets/rplan/10367.json,84
99,datasets/rplan/10375.json,85
100,datasets/rplan/10378.json,87
101,datasets/rplan/10381.json,74
102,datasets/rplan/1039.json,88
103,datasets/rplan/10393.json,85
104,datasets/rplan/10396.json,75
105,datasets/rplan/10399.json,91
106,datasets/rplan/10401.json,76
107,datasets/rplan/10403.json,85
108,datasets/rplan/10404.json,75
109,datasets/rplan/10423.json,75
110,datasets/rplan/10430.json,73
111,datasets/rplan/10433.json,73
112,datasets/rplan/1044.json,88
113,datasets/rplan/10444.json,82
114,datasets/rplan/10445.json,84
115,datasets/rplan/10450.json,72
116,datasets/rplan/10458.json,82
117,datasets/rplan/10463.json,77
118,datasets/rplan/10465.json,82
119,datasets/rplan/1047.json,79
120,datasets/rplan/10472.json,78
121,datasets/rplan/10480.json,94
122,datasets/rplan/1050.json,65
123,datasets/rplan/10514.json,82
124,datasets/rplan/1052.json,77
125,datasets/rplan/10538.json,60
126,datasets/rplan/10549.json,79
127,datasets/rplan/1055.json,79
128,datasets/rplan/10550.json,91
129,datasets/rplan/10553.json,85
130,datasets/rplan/10556.json,82
131,datasets/rplan/10559.json,88
132,datasets/rplan/10561.json,85
133,datasets/rplan/10576.json,73
134,datasets/rplan/10578.json,77
135,datasets/rplan/10586.json,85
136,datasets/rplan/10591.json,79
137,datasets/rplan/10594.json,74
138,datasets/rplan/10595.json,82
139,datasets/rplan/10597.json,82
140,datasets/rplan/10599.json,85
141,datasets/rplan/10600.json,79
142,datasets/rplan/10601.json,83
143,datasets/rplan/10606.json,79
144,datasets/rplan/10607.json,68
145,datasets/rplan/1061.json,79
146,datasets/rplan/10618.json,73
147,datasets/rplan/1062.json,85
148,datasets/rplan/10622.json,85
149,datasets/rplan/10624.json,67
150,datasets/rplan/10629.json,66
151,datasets/rplan/10638.json,81
152,datasets/rplan/10643.json,77
153,datasets/rplan/10644.json,71
154,datasets/rplan/10645.json,72
155,datasets/rplan/10647.json,76
156,datasets/rplan/10651.json,77
157,datasets/rplan/10682.json,79
158,datasets/rplan/10689.json,82
159,datasets/rplan/10693.json,77
160,datasets/rplan/10695.json,85
161,datasets/rplan/10697.json,77
162,datasets/rplan/10698.json,78
163,datasets/rplan/10699.json,76
164,datasets/rplan/10707.json,76
165,datasets/rplan/10708.json,76
166,datasets/rplan/10712.json,73
167,datasets/rplan/10713.json,79
168,datasets/rplan/10714.json,86
169,datasets/rplan/10718.json,71
170,datasets/rplan/1072.json,63
171,datasets/rplan/10728.json,85
172,datasets/rplan/10733.json,74
173,datasets/rplan/10739.json,73
174,datasets/rplan/10740.json,79
